,Algorithm,CandidatesNum,PopulationSize,Alpha,IterationNumber,Result
229,4,5,20,0.25,50,4.6
230,4,5,20,0.3,5,4.4
231,4,5,20,0.3,10,4.8
232,4,5,20,0.3,15,4.2
233,4,5,20,0.3,20,4.8
234,4,5,20,0.3,25,4.6
235,4,5,20,0.3,30,4.8
236,4,5,20,0.3,35,4.6
237,4,5,20,0.3,40,4.6
238,4,5,20,0.3,45,4.8
239,4,5,20,0.3,50,4.2
240,4,5,25,0.05,5,4.6
241,4,5,25,0.05,10,4.4
242,4,5,25,0.05,15,4.8
243,4,5,25,0.05,20,4.6
244,4,5,25,0.05,25,4.8
245,4,5,25,0.05,30,4.6
246,4,5,25,0.05,35,4.8
247,4,5,25,0.05,40,4.6
248,4,5,25,0.05,45,5.0
249,4,5,25,0.05,50,4.4
250,4,5,25,0.1,5,4.4
251,4,5,25,0.1,10,4.6
252,4,5,25,0.1,15,4.4
253,4,5,25,0.1,20,4.6
254,4,5,25,0.1,25,5.0
255,4,5,25,0.1,30,4.4
256,4,5,25,0.1,35,5.0
257,4,5,25,0.1,40,4.4
258,4,5,25,0.1,45,4.8
259,4,5,25,0.1,50,4.8
260,4,5,25,0.15,5,4.2
261,4,5,25,0.15,10,5.0
262,4,5,25,0.15,15,4.6
263,4,5,25,0.15,20,4.6
264,4,5,25,0.15,25,4.4
265,4,5,25,0.15,30,4.4
266,4,5,25,0.15,35,4.4
267,4,5,25,0.15,40,4.4
268,4,5,25,0.15,45,4.6
269,4,5,25,0.15,50,4.6
270,4,5,25,0.2,5,4.4
271,4,5,25,0.2,10,4.8
272,4,5,25,0.2,15,4.4
273,4,5,25,0.2,20,4.6
274,4,5,25,0.2,25,4.6
275,4,5,25,0.2,30,4.4
276,4,5,25,0.2,35,4.4
277,4,5,25,0.2,40,4.2
278,4,5,25,0.2,45,4.6
279,4,5,25,0.2,50,4.8
280,4,5,25,0.25,5,4.4
281,4,5,25,0.25,10,4.6
282,4,5,25,0.25,15,4.6
283,4,5,25,0.25,20,5.0
284,4,5,25,0.25,25,4.4
285,4,5,25,0.25,30,4.8
286,4,5,25,0.25,35,4.6
287,4,5,25,0.25,40,4.8
288,4,5,25,0.25,45,5.0
289,4,5,25,0.25,50,4.4
290,4,5,25,0.3,5,4.8
291,4,5,25,0.3,10,4.4
292,4,5,25,0.3,15,4.6
293,4,5,25,0.3,20,4.8
294,4,5,25,0.3,25,4.4
295,4,5,25,0.3,30,4.8
296,4,5,25,0.3,35,4.8
297,4,5,25,0.3,40,4.8
298,4,5,25,0.3,45,4.6
299,4,5,25,0.3,50,4.2
300,4,5,30,0.05,5,4.8
301,4,5,30,0.05,10,4.6
302,4,5,30,0.05,15,4.6
303,4,5,30,0.05,20,4.2
304,4,5,30,0.05,25,4.2
305,4,5,30,0.05,30,4.8
306,4,5,30,0.05,35,4.6
307,4,5,30,0.05,40,4.2
308,4,5,30,0.05,45,4.6
309,4,5,30,0.05,50,4.6
310,4,5,30,0.1,5,4.4
311,4,5,30,0.1,10,4.6
312,4,5,30,0.1,15,4.6
313,4,5,30,0.1,20,4.8
314,4,5,30,0.1,25,4.8
315,4,5,30,0.1,30,4.4
316,4,5,30,0.1,35,4.4
317,4,5,30,0.1,40,4.4
318,4,5,30,0.1,45,4.6
319,4,5,30,0.1,50,4.8
320,4,5,30,0.15,5,4.2
321,4,5,30,0.15,10,5.0
322,4,5,30,0.15,15,4.2
323,4,5,30,0.15,20,4.4
324,4,5,30,0.15,25,5.0
325,4,5,30,0.15,30,4.6
326,4,5,30,0.15,35,4.8
327,4,5,30,0.15,40,4.6
328,4,5,30,0.15,45,4.8
329,4,5,30,0.15,50,4.2
330,4,5,30,0.2,5,4.4
331,4,5,30,0.2,10,5.0
332,4,5,30,0.2,15,4.8
333,4,5,30,0.2,20,4.4
334,4,5,30,0.2,25,4.6
335,4,5,30,0.2,30,4.6
336,4,5,30,0.2,35,4.4
337,4,5,30,0.2,40,4.8
338,4,5,30,0.2,45,4.4
339,4,5,30,0.2,50,4.8
340,4,5,30,0.25,5,4.8
341,4,5,30,0.25,10,4.6
342,4,5,30,0.25,15,4.2
343,4,5,30,0.25,20,4.4
344,4,5,30,0.25,25,4.6
345,4,5,30,0.25,30,4.4
346,4,5,30,0.25,35,4.4
347,4,5,30,0.25,40,4.6
348,4,5,30,0.25,45,4.8
349,4,5,30,0.25,50,4.4
350,4,5,30,0.3,5,4.6
351,4,5,30,0.3,10,4.6
352,4,5,30,0.3,15,4.8
353,4,5,30,0.3,20,4.8
354,4,5,30,0.3,25,4.2
355,4,5,30,0.3,30,4.8
356,4,5,30,0.3,35,4.6
357,4,5,30,0.3,40,4.6
358,4,5,30,0.3,45,4.8
359,4,5,30,0.3,50,4.6
360,4,5,35,0.05,5,4.6
361,4,5,35,0.05,10,4.6
362,4,5,35,0.05,15,4.8
363,4,5,35,0.05,20,4.6
364,4,5,35,0.05,25,4.6
365,4,5,35,0.05,30,4.6
366,4,5,35,0.05,35,4.6
367,4,5,35,0.05,40,4.8
368,4,5,35,0.05,45,4.4
369,4,5,35,0.05,50,4.6
370,4,5,35,0.1,5,4.4
371,4,5,35,0.1,10,4.8
372,4,5,35,0.1,15,4.4
373,4,5,35,0.1,20,4.4
374,4,5,35,0.1,25,4.6
375,4,5,35,0.1,30,4.6
376,4,5,35,0.1,35,4.6
377,4,5,35,0.1,40,4.6
378,4,5,35,0.1,45,4.2
379,4,5,35,0.1,50,4.8
380,4,5,35,0.15,5,4.8
381,4,5,35,0.15,10,4.6
382,4,5,35,0.15,15,4.4
383,4,5,35,0.15,20,4.8
384,4,5,35,0.15,25,4.4
385,4,5,35,0.15,30,4.8
386,4,5,35,0.15,35,4.8
387,4,5,35,0.15,40,4.6
388,4,5,35,0.15,45,4.6
389,4,5,35,0.15,50,4.6
390,4,5,35,0.2,5,4.4
391,4,5,35,0.2,10,4.2
392,4,5,35,0.2,15,4.6
393,4,5,35,0.2,20,4.8
394,4,5,35,0.2,25,4.8
395,4,5,35,0.2,30,4.6
396,4,5,35,0.2,35,4.4
397,4,5,35,0.2,40,4.8
398,4,5,35,0.2,45,4.6
