,Algorithm,CandidatesNum,GroupsNumber,GroupMembers,Result
372,1,250,4,4,4.6
373,1,250,4,5,5.5
374,1,250,4,6,7.0
375,1,250,5,2,2.0
376,1,250,5,3,3.4
377,1,250,5,4,4.5
378,1,250,5,5,5.9
379,1,250,5,6,7.6
380,1,250,6,2,2.0
381,1,250,6,3,3.9
382,1,250,6,4,5.0
383,1,250,6,5,6.1
384,1,250,6,6,7.1
385,1,250,7,2,2.1
386,1,250,7,3,3.9
387,1,250,7,4,5.0
388,1,250,7,5,6.3
389,1,250,7,6,7.8
390,1,270,2,2,2.0
391,1,270,2,3,3.0
392,1,270,2,4,4.0
393,1,270,2,5,5.0
394,1,270,2,6,6.0
395,1,270,3,2,2.0
396,1,270,3,3,3.0
397,1,270,3,4,4.0
398,1,270,3,5,5.1
399,1,270,3,6,6.1
400,1,270,4,2,2.0
401,1,270,4,3,3.1
402,1,270,4,4,4.3
403,1,270,4,5,5.7
404,1,270,4,6,7.0
405,1,270,5,2,2.0
406,1,270,5,3,3.1
407,1,270,5,4,4.7
408,1,270,5,5,5.8
409,1,270,5,6,6.9
410,1,270,6,2,2.0
411,1,270,6,3,3.7
412,1,270,6,4,5.0
413,1,270,6,5,6.2
414,1,270,6,6,7.3
415,1,270,7,2,2.1
416,1,270,7,3,3.9
417,1,270,7,4,5.0
418,1,270,7,5,6.2
419,1,270,7,6,7.8
420,1,290,2,2,2.0
421,1,290,2,3,3.0
422,1,290,2,4,4.0
423,1,290,2,5,5.0
424,1,290,2,6,6.0
425,1,290,3,2,2.0
426,1,290,3,3,3.0
427,1,290,3,4,4.0
428,1,290,3,5,5.1
429,1,290,3,6,6.4
430,1,290,4,2,2.0
431,1,290,4,3,3.0
432,1,290,4,4,4.4
433,1,290,4,5,5.6
434,1,290,4,6,6.9
435,1,290,5,2,2.0
436,1,290,5,3,3.5
437,1,290,5,4,4.6
438,1,290,5,5,5.9
439,1,290,5,6,7.0
440,1,290,6,2,2.0
441,1,290,6,3,3.7
442,1,290,6,4,5.0
443,1,290,6,5,6.0
444,1,290,6,6,7.5
445,1,290,7,2,2.2
446,1,290,7,3,3.8
447,1,290,7,4,5.0
448,1,290,7,5,6.2
449,1,290,7,6,7.7
450,1,310,2,2,2.0
451,1,310,2,3,3.0
452,1,310,2,4,4.0
453,1,310,2,5,5.0
454,1,310,2,6,6.0
455,1,310,3,2,2.0
456,1,310,3,3,3.0
457,1,310,3,4,4.0
458,1,310,3,5,5.1
459,1,310,3,6,6.3
460,1,310,4,2,2.0
461,1,310,4,3,3.0
462,1,310,4,4,4.2
463,1,310,4,5,5.6
464,1,310,4,6,6.6
465,1,310,5,2,2.0
466,1,310,5,3,3.4
467,1,310,5,4,4.8
468,1,310,5,5,5.9
469,1,310,5,6,7.1
470,1,310,6,2,2.0
471,1,310,6,3,3.8
472,1,310,6,4,4.9
473,1,310,6,5,6.3
474,1,310,6,6,7.2
475,1,310,7,2,2.1
476,1,310,7,3,3.9
477,1,310,7,4,5.0
478,1,310,7,5,6.3
479,1,310,7,6,7.5
480,1,330,2,2,2.0
481,1,330,2,3,3.0
482,1,330,2,4,4.0
483,1,330,2,5,5.0
484,1,330,2,6,6.0
485,1,330,3,2,2.0
486,1,330,3,3,3.0
487,1,330,3,4,4.0
488,1,330,3,5,5.0
489,1,330,3,6,6.3
490,1,330,4,2,2.0
491,1,330,4,3,3.0
492,1,330,4,4,4.2
493,1,330,4,5,5.6
494,1,330,4,6,6.8
495,1,330,5,2,2.0
496,1,330,5,3,3.4
497,1,330,5,4,4.6
498,1,330,5,5,6.0
499,1,330,5,6,7.1
500,1,330,6,2,2.0
501,1,330,6,3,3.5
502,1,330,6,4,5.0
503,1,330,6,5,6.0
504,1,330,6,6,7.5
505,1,330,7,2,2.0
506,1,330,7,3,3.7
507,1,330,7,4,5.0
508,1,330,7,5,6.1
509,1,330,7,6,7.6
510,1,350,2,2,2.0
511,1,350,2,3,3.0
512,1,350,2,4,4.0
513,1,350,2,5,5.0
514,1,350,2,6,6.0
515,1,350,3,2,2.0
516,1,350,3,3,3.0
517,1,350,3,4,4.0
518,1,350,3,5,5.2
519,1,350,3,6,6.1
520,1,350,4,2,2.0
521,1,350,4,3,3.0
522,1,350,4,4,4.6
523,1,350,4,5,5.9
524,1,350,4,6,6.8
525,1,350,5,2,2.0
526,1,350,5,3,3.1
527,1,350,5,4,4.6
