,Algorithm,CandidatesNum,GroupsNumber,GroupMembers,Result
408,1,270,5,5,0.0249330997467041
409,1,270,5,6,0.030916929244995117
410,1,270,6,2,0.007978439331054688
411,1,270,6,3,0.017951011657714844
412,1,270,6,4,0.023935556411743164
413,1,270,6,5,0.028922080993652344
414,1,270,6,6,0.038895606994628906
415,1,270,7,2,0.007978439331054688
416,1,270,7,3,0.01994609832763672
417,1,270,7,4,0.0249330997467041
418,1,270,7,5,0.031914472579956055
419,1,270,7,6,0.04388236999511719
420,1,290,2,2,0.00498652458190918
421,1,290,2,3,0.006981372833251953
422,1,290,2,4,0.00897526741027832
423,1,290,2,5,0.01196742057800293
424,1,290,2,6,0.014959573745727539
425,1,290,3,2,0.004986286163330078
426,1,290,3,3,0.00897526741027832
427,1,290,3,4,0.01296544075012207
428,1,290,3,5,0.014959335327148438
429,1,290,3,6,0.018949031829833984
430,1,290,4,2,0.005983591079711914
431,1,290,4,3,0.00997304916381836
432,1,290,4,4,0.01495981216430664
433,1,290,4,5,0.02293872833251953
434,1,290,4,6,0.026927947998046875
435,1,290,5,2,0.0069811344146728516
436,1,290,5,3,0.018949031829833984
437,1,290,5,4,0.021940231323242188
438,1,290,5,5,0.026929616928100586
439,1,290,5,6,0.030916452407836914
440,1,290,6,2,0.007978677749633789
441,1,290,6,3,0.012959718704223633
442,1,290,6,4,0.0249326229095459
443,1,290,6,5,0.029919147491455078
444,1,290,6,6,0.041893720626831055
445,1,290,7,2,0.00897526741027832
446,1,290,7,3,0.021941423416137695
447,1,290,7,4,0.027925729751586914
448,1,290,7,5,0.039903879165649414
449,1,290,7,6,0.0468747615814209
450,1,310,2,2,0.0039865970611572266
451,1,310,2,3,0.0069811344146728516
452,1,310,2,4,0.0109710693359375
453,1,310,2,5,0.014959573745727539
454,1,310,2,6,0.01695394515991211
455,1,310,3,2,0.00498652458190918
456,1,310,3,3,0.008975505828857422
457,1,310,3,4,0.012964725494384766
458,1,310,3,5,0.01695418357849121
459,1,310,3,6,0.02094435691833496
460,1,310,4,2,0.0059833526611328125
461,1,310,4,3,0.015957117080688477
462,1,310,4,4,0.019945621490478516
463,1,310,4,5,0.019945859909057617
464,1,310,4,6,0.028922080993652344
465,1,310,5,2,0.008144378662109375
466,1,310,5,3,0.01894855499267578
467,1,310,5,4,0.02393507957458496
468,1,310,5,5,0.027924537658691406
469,1,310,5,6,0.03390908241271973
470,1,310,6,2,0.007978200912475586
471,1,310,6,3,0.020943403244018555
472,1,310,6,4,0.025930166244506836
473,1,310,6,5,0.03191423416137695
474,1,310,6,6,0.043882131576538086
475,1,310,7,2,0.00897526741027832
476,1,310,7,3,0.023935556411743164
477,1,310,7,4,0.02991938591003418
478,1,310,7,5,0.043881893157958984
479,1,310,7,6,0.043881893157958984
480,1,330,2,2,0.004986286163330078
481,1,330,2,3,0.007978677749633789
482,1,330,2,4,0.010970115661621094
483,1,330,2,5,0.013962268829345703
484,1,330,2,6,0.017951250076293945
485,1,330,3,2,0.005984067916870117
486,1,330,3,3,0.009972572326660156
487,1,330,3,4,0.013962507247924805
488,1,330,3,5,0.021940946578979492
489,1,330,3,6,0.021940946578979492
490,1,330,4,2,0.00698089599609375
491,1,330,4,3,0.010970115661621094
492,1,330,4,4,0.016954421997070312
493,1,330,4,5,0.020943403244018555
494,1,330,4,6,0.03091716766357422
495,1,330,5,2,0.008975744247436523
496,1,330,5,3,0.0139617919921875
497,1,330,5,4,0.02692723274230957
498,1,330,5,5,0.030916690826416016
499,1,330,5,6,0.03789806365966797
500,1,330,6,2,0.009972810745239258
501,1,330,6,3,0.022937297821044922
502,1,330,6,4,0.030916213989257812
503,1,330,6,5,0.038895606994628906
504,1,330,6,6,0.04388141632080078
505,1,330,7,2,0.010970830917358398
506,1,330,7,3,0.025929927825927734
507,1,330,7,4,0.03291177749633789
508,1,330,7,5,0.04886889457702637
509,1,330,7,6,0.05385541915893555
510,1,350,2,2,0.0049860477447509766
511,1,350,2,3,0.008975744247436523
512,1,350,2,4,0.010970354080200195
513,1,350,2,5,0.014959573745727539
514,1,350,2,6,0.018949031829833984
515,1,350,3,2,0.005983591079711914
516,1,350,3,3,0.009973526000976562
517,1,350,3,4,0.014959573745727539
518,1,350,3,5,0.018949508666992188
519,1,350,3,6,0.02293848991394043
520,1,350,4,2,0.00698089599609375
521,1,350,4,3,0.011967658996582031
522,1,350,4,4,0.01695418357849121
523,1,350,4,5,0.027924776077270508
524,1,350,4,6,0.033908843994140625
525,1,350,5,2,0.007977962493896484
526,1,350,5,3,0.01994633674621582
527,1,350,5,4,0.025930166244506836
528,1,350,5,5,0.031914472579956055
529,1,350,5,6,0.03789830207824707
530,1,350,6,2,0.008975744247436523
531,1,350,6,3,0.02293872833251953
532,1,350,6,4,0.02991962432861328
533,1,350,6,5,0.03690075874328613
534,1,350,6,6,0.043882131576538086
535,1,350,7,2,0.00997304916381836
536,1,350,7,3,0.025930404663085938
537,1,350,7,4,0.025930404663085938
538,1,350,7,5,0.041887521743774414
539,1,350,7,6,0.04886889457702637
540,1,370,2,2,0.004987001419067383
541,1,370,2,3,0.008975744247436523
542,1,370,2,4,0.012965202331542969
543,1,370,2,5,0.015957117080688477
544,1,370,2,6,0.01994609832763672
545,1,370,3,2,0.006981372833251953
546,1,370,3,3,0.010970592498779297
547,1,370,3,4,0.014959573745727539
548,1,370,3,5,0.01994633674621582
549,1,370,3,6,0.027924776077270508
550,1,370,4,2,0.0069811344146728516
551,1,370,4,3,0.012965202331542969
552,1,370,4,4,0.017951488494873047
553,1,370,4,5,0.028922319412231445
554,1,370,4,6,0.03690075874328613
555,1,370,5,2,0.00897526741027832
556,1,370,5,3,0.014960289001464844
557,1,370,5,4,0.027924776077270508
558,1,370,5,5,0.033908843994140625
559,1,370,5,6,0.039893150329589844
560,1,370,6,2,0.00997304916381836
561,1,370,6,3,0.023935556411743164
562,1,370,6,4,0.031914472579956055
563,1,370,6,5,0.04587697982788086
564,1,370,6,6,0.04587721824645996
565,1,370,7,2,0.010970354080200195
566,1,370,7,3,0.02792501449584961
567,1,370,7,4,0.0359036922454834
568,1,370,7,5,0.044879913330078125
569,1,370,7,6,0.05186057090759277
570,1,390,2,2,0.004986286163330078
571,1,390,2,3,0.008975982666015625
572,1,390,2,4,0.012965202331542969
573,1,390,2,5,0.015956878662109375
574,1,390,2,6,0.01994633674621582
575,1,390,3,2,0.005983829498291016
576,1,390,3,3,0.010970354080200195
577,1,390,3,4,0.015957117080688477
578,1,390,3,5,0.020943641662597656
579,1,390,3,6,0.02593088150024414
580,1,390,4,2,0.007978200912475586
581,1,390,4,3,0.015956878662109375
582,1,390,4,4,0.01894855499267578
583,1,390,4,5,0.03298807144165039
584,1,390,4,6,0.03789782524108887
585,1,390,5,2,0.009958028793334961
586,1,390,5,3,0.01695394515991211
587,1,390,5,4,0.022938013076782227
588,1,390,5,5,0.03589272499084473
589,1,390,5,6,0.04288649559020996
590,1,390,6,2,0.01099395751953125
591,1,390,6,3,0.01795196533203125
592,1,390,6,4,0.03390979766845703
593,1,390,6,5,0.04088187217712402
594,1,390,6,6,0.05684781074523926
595,1,390,7,2,0.01196742057800293
596,1,390,7,3,0.028922319412231445
597,1,390,7,4,0.037874698638916016
598,1,390,7,5,0.04587674140930176
599,1,390,7,6,0.06382870674133301
600,1,410,2,2,0.005983114242553711
601,1,410,2,3,0.009968042373657227
602,1,410,2,4,0.01296544075012207
603,1,410,2,5,0.01795196533203125
604,1,410,2,6,0.019947528839111328
605,1,410,3,2,0.0069658756256103516
606,1,410,3,3,0.011499643325805664
607,1,410,3,4,0.015958070755004883
608,1,410,3,5,0.020943880081176758
609,1,410,3,6,0.025933504104614258
610,1,410,4,2,0.007977962493896484
611,1,410,4,3,0.013962507247924805
612,1,410,4,4,0.01994609832763672
613,1,410,4,5,0.02791619300842285
614,1,410,4,6,0.03893160820007324
615,1,410,5,2,0.008975744247436523
616,1,410,5,3,0.016954421997070312
617,1,410,5,4,0.030895709991455078
618,1,410,5,5,0.03888750076293945
619,1,410,5,6,0.044879913330078125
620,1,410,6,2,0.010969400405883789
621,1,410,6,3,0.018906593322753906
622,1,410,6,4,0.03488731384277344
623,1,410,6,5,0.04288530349731445
624,1,410,6,6,0.050830841064453125
625,1,410,7,2,0.011968612670898438
626,1,410,7,3,0.030913591384887695
627,1,410,7,4,0.03989362716674805
628,1,410,7,5,0.04788827896118164
629,1,410,7,6,0.057933807373046875
630,1,430,2,2,0.007003068923950195
631,1,430,2,3,0.00998067855834961
632,1,430,2,4,0.014001846313476562
633,1,430,2,5,0.021902084350585938
634,1,430,2,6,0.021939516067504883
635,1,430,3,2,0.0069828033447265625
636,1,430,3,3,0.011967897415161133
637,1,430,3,4,0.017952442169189453
638,1,430,3,5,0.022938966751098633
639,1,430,3,6,0.0289456844329834
640,1,430,4,2,0.007980108261108398
641,1,430,4,3,0.014933347702026367
642,1,430,4,4,0.029932260513305664
643,1,430,4,5,0.029903173446655273
644,1,430,4,6,0.040889739990234375
645,1,430,5,2,0.009974241256713867
646,1,430,5,3,0.017971277236938477
647,1,430,5,4,0.0329127311706543
648,1,430,5,5,0.039893150329589844
649,1,430,5,6,0.04787158966064453
650,1,430,6,2,0.010970592498779297
651,1,430,6,3,0.02789759635925293
652,1,430,6,4,0.03690075874328613
653,1,430,6,5,0.04587531089782715
654,1,430,6,6,0.05285334587097168
655,1,430,7,2,0.01298666000366211
656,1,430,7,3,0.03191399574279785
657,1,430,7,4,0.04090571403503418
658,1,430,7,5,0.05090141296386719
659,1,430,7,6,0.058843374252319336
660,1,450,2,2,0.00699305534362793
661,1,450,2,3,0.009972572326660156
662,1,450,2,4,0.015955686569213867
663,1,450,2,5,0.018965721130371094
664,1,450,2,6,0.02295684814453125
665,1,450,3,2,0.0069806575775146484
666,1,450,3,3,0.012966156005859375
667,1,450,3,4,0.01795196533203125
668,1,450,3,5,0.023914337158203125
669,1,450,3,6,0.029920578002929688
670,1,450,4,2,0.008957862854003906
671,1,450,4,3,0.015958070755004883
672,1,450,4,4,0.02392268180847168
673,1,450,4,5,0.0359036922454834
674,1,450,4,6,0.04191446304321289
675,1,450,5,2,0.010941743850708008
676,1,450,5,3,0.018970489501953125
677,1,450,5,4,0.03490734100341797
678,1,450,5,5,0.040874481201171875
679,1,450,5,6,0.048870086669921875
680,1,450,6,2,0.011967658996582031
681,1,450,6,3,0.029920101165771484
682,1,450,6,4,0.03889751434326172
683,1,450,6,5,0.047870635986328125
